row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,fold_change,log2_fold_change
9542,97.991676991767,17.04265,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.003398854540310406,0.003356056110261037,0.9874079842070969,-0.018281784090899405
9407,99.5125524193303,17.032793,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,5.43606809295546e-4,5.291262763949721e-4,0.9733621200968048,-0.03895146390342475
5200,111.020439979777,14.128122,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.0037752646293121735,0.003924369290834932,1.039495154952866,0.05588303386558247
9507,111.039179820109,17.038515,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.0041163934772172625,0.004157261593940677,1.0099281365956885,0.014252638852710834
9513,111.537305383558,17.037987,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,2.9151242539299726e-5,2.76018428370735e-5,0.9468496171256703,-0.07879278625297034
9461,113.035699342279,17.035868,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,6.913953682428705e-5,7.554136079737276e-5,1.0925928096590445,0.12775583381999608
9371,114.016745018836,17.030886,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.0011157633777829062,0.001108431759897755,0.9934290567058047,-0.009511150254040687
8555,122.096555737845,16.576328,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,6.672250822320306e-4,5.754614151709701e-4,0.8624696980004279,-0.21345432484829
9022,129.102267100981,16.960741,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,3.71217182309988e-4,3.7699288673368e-4,1.0155588283595909,0.0222738131687012
7940,130.159030353863,16.039602,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.001517993575616048,0.001418868286752735,0.9346997968531686,-0.09742501452309607
9249,133.529911999577,17.026329,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.0016498209248808602,0.001668674310266206,1.011427534407534,0.0163929590499449
9307,139.987732323867,17.028448,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.035940658155482155,0.03574907614320083,0.994669490707362,-0.0077108690585791576
6097,142.122560558986,15.000655,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.0018939141636694732,0.001936902247245945,1.022698010501797,0.03238019877798435
8910,144.982025855443,16.88878,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.02067302222867056,0.0196241073862806,0.9492616594328784,-0.07512228084000633
2368,145.989826396024,0.7912283,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,7.131718708095546e-4,9.009596758855112e-4,1.2633135331919216,0.3372127362321931
9270,152.035800737857,17.027283,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,1.0879918152250151e-4,1.1101426101411952e-4,1.0203593396624946,0.029077315189786918
9543,153.993201746574,17.042652,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.0012056013979521042,0.001170154075888084,0.970597809421727,-0.04305449085363944
9481,154.004805617416,17.036924,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,4.5370650794725794e-4,4.4608432084527696e-4,0.9832001812438912,-0.024442913229229854
8917,155.128958597292,16.89301,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,7.946193553508331e-4,7.70397748088476e-4,0.9695179747394109,-0.04466044892556864
7717,155.128974042426,15.775337,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,1.7436906769677604e-4,1.620241865857998e-4,0.9292025743210159,-0.10593494380239528
10039,156.990654457803,17.755041,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,3.8304603985649495e-4,3.68884376653898e-4,0.9630288223110138,-0.05434911802017151
9607,166.99061040458,17.064333,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,4.8756900093685095e-4,4.7151455828200003e-4,0.9670724705139114,-0.04830408839782077
9467,167.012633234197,17.036396,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,0.008143792373278166,0.008088229401213376,0.9931772607259602,-0.009876864195645669
9539,169.977116026714,17.055567,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.0010687601016602039,0.001000937286977196,0.9365406562448838,-0.0945864701043299
6685,170.117394352978,15.331284,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,1.7808269512442062e-4,2.1456959601238047e-4,1.2048874028016456,0.2688983323393465
7319,172.11524905010901,15.491171,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.001005306173518976,0.0010800973669105231,1.0743964330088096,0.10352642014507805
2297,172.977011064792,0.7920265,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,2.7368577245689382e-5,4.5038758305781826e-5,1.6456375463534751,0.7186466154314993
9190,180.538421347581,17.018597,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,5.314486632407204e-5,5.145243350494388e-5,0.968154349870637,-0.04669102461744176
9138,182.021998106293,17.0031,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,4.50076713561117e-4,4.541811483404341e-4,1.0091194115484043,0.013096902150394076
7129,188.127920280253,15.439706,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,1.4540270007302135e-4,1.418139334304693e-4,0.9753184319084187,-0.036054773325470094
3362,188.127959908868,6.248452,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,5.17317744394012e-4,5.07672634520055e-4,0.9813555402294284,-0.027152182502474646
9586,195.993217397616,17.052416,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,8.261748042085191e-4,8.059033469458452e-4,0.9754634767855284,-0.03584023829788402
7256,200.200658176832,15.5919895,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,8.693211892185797e-5,9.202229765223403e-5,1.0585534874049436,0.08209416879215081
9574,203.970893770216,17.050734,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,2.37539117959978e-4,2.4248162747873896e-4,1.0208071393091291,0.029710324154544623
9311,208.01484708791,17.028555,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,2.28889117959728e-4,2.2746409830786497e-4,0.9937741922177631,-0.009010018528523171
4524,214.252645390313,12.8056755,0.6834809022014257,32,10,0.9869228544718861,1,0.08181818181818179,1.4581927659032814e-4,1.4331131306545415e-4,0.9828008780216351,-0.02502894830155719
9695,227.982447978685,17.33533,0.6834809022014257,23,10,0.9869228544718861,1,-0.08181818181818185,0.00483500393935816,0.005101119577123877,1.0550393838564367,0.07729685469914765
