"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"5822_210.0779_16.51","PC19",-0.0387291080073298,10.6301199526653,3.26038647289938,0.02033,0.68544
"5822_210.0779_16.51","PC20",-0.0512275963167498,10.3989610054262,3.22474200602563,0.01988,0.70532
"5822_210.0779_16.51","PC21",-0.00872384806365295,9.52180874670893,3.08574281927528,0.01821,0.72353
"5822_210.0779_16.51","PC22",0.0409310925389226,9.24348369918479,3.04030980315901,0.01767,0.7412
"5822_210.0779_16.51","PC23",0.0023356281441119,9.0824887081647,3.01371675977765,0.01737,0.75857
"5822_210.0779_16.51","PC24",-0.0337090614558582,8.9929881008305,2.99883112242595,0.0172,0.77576
"5822_210.0779_16.51","PC25",-0.0027526565122304,8.78810911145112,2.96447450848394,0.0168,0.79257
"5822_210.0779_16.51","PC26",-0.0164632708079485,8.45691699868938,2.90807788731481,0.01617,0.80874
"5822_210.0779_16.51","PC27",0.00582761704415619,8.20016996865874,2.86359389031663,0.01568,0.82442
"5822_210.0779_16.51","PC28",0.062530709243362,7.88033208162705,2.80719291849118,0.01507,0.83948
"5822_210.0779_16.51","PC29",-0.0490023576813812,7.61671354774801,2.75983940615174,0.01456,0.85405
"5822_210.0779_16.51","PC30",-0.0138524530070867,7.17770040004788,2.67912306549137,0.01372,0.86777
"5822_210.0779_16.51","PC31",-0.00976640165767393,6.98720278754073,2.64333175888702,0.01336,0.88113
"5822_210.0779_16.51","PC32",-0.0354337702913267,6.7769378044734,2.6032552322954,0.01296,0.89409
"5822_210.0779_16.51","PC33",0.047627548527,6.67329638111928,2.58327241713283,0.01276,0.90685
"5822_210.0779_16.51","PC34",0.00465637826163552,6.38210635157969,2.52628310994229,0.0122,0.91905
"5822_210.0779_16.51","PC35",0.103295807820411,6.15915748958142,2.4817649948336,0.01178,0.93083
"5822_210.0779_16.51","PC36",0.0414993535973865,6.08009841059965,2.465785556491,0.01163,0.94245
"5822_210.0779_16.51","PC37",0.0464353792600821,5.75994257997794,2.39998803746559,0.01101,0.95347
"5822_210.0779_16.51","PC38",-0.0113003308059861,5.54825771120536,2.35547398864971,0.01061,0.96408
"5822_210.0779_16.51","PC39",0.0343065944195717,5.04873682396543,2.24693943486811,0.00965,0.97373
"5822_210.0779_16.51","PC40",0.0358202215003922,4.9297181635573,2.2202968638354,0.00943,0.98315
"5822_210.0779_16.51","PC41",-0.0131266401285169,4.71548731644038,2.17151728439826,0.00902,0.99217
"5822_210.0779_16.51","PC42",0.0788740247954703,4.09463588596457,2.02352066605819,0.00783,1
"5822_210.0779_16.51","PC43",0.011486042232542,1.65746380895153e-29,4.0711961497225e-15,0,1
"5272_210.0779_16.3","PC1",0.00240796133753496,84.0433996909661,9.16751873142161,0.16069,0.16069
"5272_210.0779_16.3","PC2",0.0395154658778634,24.9238544740313,4.99237964041511,0.04766,0.20835
