"feature","PR2","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"7672_74.0607_15.72",1.00100150250438,0,1.00100150250438,0.00369230769230769
"5913_81.0705_14.91",0,1.00100150250438,1.00100150250438,0.0466158426368953
"9277_82.0142_17.03",1.00100150250438,0,1.00100150250438,0.015311004784689
"6113_93.0703_14.9",1.00100150250438,1.00100150250438,1.00100150250438,0.0121263157894737
"9542_97.9917_17.04",1.00100150250438,1.00100150250438,1.00100150250438,0.0226140350877193
"7103_101.0713_15.5",0,1.00100150250438,1.00100150250438,0.00373333333333333
"9488_104.0306_17.04",1.00100150250438,1.00100150250438,1.00100150250438,0.0477871602082128
"7694_105.0426_15.75",1.00100150250438,0,1.00100150250438,0.00363636363636364
"7512_114.0664_15.7",1.00100150250438,0,1.00100150250438,0.00366666666666667
"9264_115.5572_17.03",1.00100150250438,1.00100150250438,1.00100150250438,0.034257952573742
"8361_122.0966_16.31",1.00100150250438,0,1.00100150250438,0.00996410256410256
"8864_124.087_16.84",0,1.00100150250438,1.00100150250438,0.0343625730994152
"9509_124.5435_17.04",1.00100150250438,0,1.00100150250438,0.0189473684210526
"7647_130.159_15.88",1.00100150250438,0,1.00100150250438,0.0310904183535762
"9709_130.5333_17.38",1.00100150250438,0,1.00100150250438,0.0158362573099415
"1827_132.0655_0.65",0,1.00100150250438,1.00100150250438,0.0145193753614806
"6199_133.53_15.06",1.00100150250438,0,1.00100150250438,0.00622222222222222
"9307_139.9877_17.03",0,1.00100150250438,1.00100150250438,0.0104571428571429
"9300_141.9832_17.03",0,1.00100150250438,1.00100150250438,0.00716666666666667
"8952_144.1131_16.88",1.00100150250438,1.00100150250438,1.00100150250438,0.0126315789473684
"5166_153.0909_14.13",0,1.00100150250438,1.00100150250438,0.003
"9056_156.042_16.98",0,1.00100150250438,1.00100150250438,0.00363636363636364
"4416_158.1539_12.24",1.00100150250438,0,1.00100150250438,0.0032
"9165_166.9987_17.01",0,1.00100150250438,1.00100150250438,0.009
"9310_167.9861_17.03",1.00100150250438,1.00100150250438,1.00100150250438,0.00923076923076923
"7004_170.0963_15.47",1.00100150250438,0,1.00100150250438,0.0036
