"feature","PR2","TR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"3537_92.024_15.56",0,0,0,0.00333333333333333
"4458_92.024_16.17",0,0,0,0
"6698_93.008_16.67",0,0,0,0.00369230769230769
"4374_93.008_15.91",0,0,0,0
"2990_106.0397_15.08",0,0,0,0.003
"3169_106.0397_15.42",0,0,0,0
"6723_106.0397_16.65",0,0,0,0
"3589_106.0397_15.63",0,0,0,0
"6899_106.0397_16.89",0,0,0,0
"5691_106.0397_16.44",0,0,0,0.00342857142857143
"3978_107.035_15.74",0,0,0,0
"3267_107.035_15.28",0,0,0,0.00899181286549708
"4929_107.035_16.06",0,0,0,0
"5776_107.035_16.48",0,0,0,0.00667105263157895
"7069_107.035_16.98",0,0,0,0
"6456_108.019_16.65",0,0,0,0
"4133_109.0394_15.84",0,0,0,0.0164210526315789
"3041_109.0394_15.12",0,0,0,0
"5625_109.0394_16.43",0,0,0,0
"5242_110.0346_16.27",0,0,0,0.0036
"6212_110.0346_16.67",0,0,0,0
"3731_110.0346_15.63",0,0,0,0.00571428571428571
"3123_110.0347_15.18",0,0,0,0
"5731_116.0241_16.39",0,0,0,0.0148815789473684
"2938_116.9199_14.92",0,0,0,0
"4142_117.0194_15.81",0,0,0,0
"3931_118.0398_15.87",0,0,0,0
"6721_120.0191_16.64",0,0,0,0
"3666_120.0191_15.67",0,0,0,0.00266666666666667
"4121_120.0191_15.99",0,0,0,0.0153473684210526
"5328_120.0191_16.21",0,0,0,0
"4033_120.0554_15.92",0,0,0,0
"6777_120.0554_16.63",0,0,0,0
"6990_120.0555_16.94",0,0,0,0
"3130_121.0507_15.19",0,0,0,0.00727272727272727
"6534_121.0507_16.61",0,0,0,0.00355555555555556
"3918_121.0507_15.86",0,0,0,0.00826480186480186
"5411_121.0507_16.29",0,0,0,0
"7005_121.0507_16.96",0,0,0,0.00872727272727273
"6078_122.0347_16.65",0,0,0,0
"5211_122.0347_16.15",0,0,0,0.003
"3628_122.0347_15.6",0,0,0,0
"3382_122.0347_15.43",0,0,0,0
"6800_122.0347_16.86",0,0,0,0
"3805_130.0399_15.68",0,0,0,0
"4163_131.0351_16.02",0,0,0,0.0107272727272727
"5327_131.0351_16.25",0,0,0,0
"3127_131.0352_15.15",0,0,0,0.0135029239766082
"2957_131.0352_14.93",0,0,0,0.0036
"4275_132.0555_15.86",0,0,0,0
"5891_132.0555_16.62",0,0,0,0.00266666666666667
"6624_132.0555_16.85",0,0,0,0
"5591_132.0555_16.4",0,0,0,0
"3133_132.0555_15.16",0,0,0,0
"6179_133.0508_16.64",0,0,0,0
"6693_133.0508_16.85",0,0,0,0.00355555555555556
"5637_133.0508_16.42",0,0,0,0.00355555555555556
"3140_133.0508_15.2",0,0,0,0.0036
"6559_134.0348_16.67",0,0,0,0.0084
"3441_134.0348_15.42",0,0,0,0
"3977_135.0664_15.84",0,0,0,0
"5494_135.0665_16.36",0,0,0,0
