row ID,row m/z,row retention time,Blank_neg.mzML Peak area,S01_neg.mzML Peak area,S02_neg.mzML Peak area,S03_neg.mzML Peak area,S04_neg.mzML Peak area,S05_neg.mzML Peak area,S06_neg.mzML Peak area,S07_neg.mzML Peak area,S08_neg.mzML Peak area,S09_neg.mzML Peak area,S10_neg.mzML Peak area,S11_neg.mzML Peak area,S12_neg.mzML Peak area,S13_neg.mzML Peak area,S14_neg.mzML Peak area,S15_neg.mzML Peak area,S16_neg.mzML Peak area,S17_neg.mzML Peak area,S18_neg.mzML Peak area,S19_neg.mzML Peak area,S20_neg.mzML Peak area,S21_neg.mzML Peak area,S22_neg.mzML Peak area,S23_neg.mzML Peak area,S24_neg.mzML Peak area,S25_neg.mzML Peak area,S26_neg.mzML Peak area,S27_neg.mzML Peak area,S28_neg.mzML Peak area,S29_neg.mzML Peak area,S30_neg.mzML Peak area,S31_neg.mzML Peak area,S32_neg.mzML Peak area,S34_neg.mzML Peak area,S35_neg.mzML Peak area,S36_neg.mzML Peak area,S37_neg.mzML Peak area,S38_neg.mzML Peak area,S39_neg.mzML Peak area,S40_neg.mzML Peak area,S41_neg.mzML Peak area,S42_neg.mzML Peak area,S43_neg.mzML Peak area,S44_neg.mzML Peak area,S45_neg.mzML Peak area,S46_neg.mzML Peak area,S47_neg.mzML Peak area,S48_neg.mzML Peak area,S49_neg.mzML Peak area,S50_neg.mzML Peak area,
2274,567.3174348728561,12.632578,0,39602.453,32388.13,16521.455,59310.367,1514.7783,50501.03,43477.79,31948.818,56552.38,20914.955,28990.945,28713.66,59958.688,123034.76,6435.008,69959.14,65401.15,36494.26,56123.996,12528.304,34303.76,13708.76,39192.332,62346.164,10183.037,0,10517.451,24335.234,20987.053,2046.7546,17201.76,5031.2075,29576.824,0,10238.345,29711.693,31014.07,20912.5,2510.9507,6896.8535,5865.296,5698.965,14941.18,46869.7,0,1287.787,0,7553.2305,638.66833,
2157,567.317523488786,11.713816,0,0,1804.8721,0,1243.4762,4883.659,24592.174,10716.6875,0,5940.84,8849.635,601.8705,0,2258.692,1970.9999,6257.243,64714.86,1373.1359,0,20897.611,627.14185,6708.7886,0,0,0,0,638.7405,1245.0785,1988.4524,12443.499,25263.164,35585.953,0,0,0,2202.5208,3629.341,0,4202.5215,6706.985,0,9110.576,1365.0961,11967.745,0,3065.4897,0,10528.962,7492.368,14332.653,
6134,567.4626679939331,16.544382,0,53252.902,14372.489,0,0,3223.5981,0,0,540.4901,0,1923.9563,38541.45,17329.123,4898.55,0,1518.523,557.9691,0,0,0,0,0,631.66724,2681.849,38889.51,2207.4175,0,11964.176,701.8739,0,0,2042.2261,0,7400.1064,2741.9592,0,2168.8442,981.25916,1544.5234,0,0,12292.053,0,1797.0522,0,0,933.86176,551.6705,6321.3916,1927.667,
2000,568.2947780619892,9.872423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578.796,0,670.4597,0,4240.5425,0,0,0,0,9971.34,0,0,0,44232.65,0,0,0,0,0,0,
2972,568.3618229687575,14.959717,0,783798.4,981157.2,799144.2,1051965.8,618081.56,1404057.5,727791.9,657449.3,638882.6,836218.0,680838.0,1526404.5,1086896.9,544395.4,445161.47,824149.7,1005022.56,1160039.0,816864.5,1339973.9,3016961.5,2501789.8,602162.94,898327.6,680041.4,1365226.4,1748816.4,994104.8,719952.2,787923.8,890517.94,253238.55,829416.94,3253993.8,1551093.8,940637.0,1381269.9,657831.44,345519.6,800566.06,960480.1,506371.4,1332626.1,528932.8,590505.56,689035.94,540316.1,3384734.8,731276.2,
1735,569.1335832169561,7.603303,0,0,0,0,0,153109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1701,569.133613865186,7.309764,0,0,0,0,0,111786.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2608,569.2730274293694,14.046313,0,0,1866.7949,0,19628.324,1321.3531,0,9275.167,79941.91,3068.191,11855.259,1219.0121,574.8633,10802.522,13853.738,2502.4458,15890.859,12208.368,7690.327,2276.9458,0,3020.481,11333.856,32102.816,66080.92,0,0,565.90125,5453.2705,0,50568.293,0,10302.065,254992.66,18358.686,1252.5532,0,2429.8518,0,210567.97,2534.3005,0,0,4037.4934,590.95874,0,5501.04,1870.1409,559.741,0,
2507,569.2731269740623,13.787239,0,0,0,0,0,0,0,0,4927.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.70605,6463.709,0,0,0,0,0,3236.754,0,0,30915.582,592.28674,0,0,0,0,22209.424,0,0,0,0,0,0,0,0,0,0,
2906,571.2888273293452,14.882062,0,0,637.17883,0,7440.785,0,0,0,14644.604,0,6834.537,0,610.03723,2578.6262,4953.6245,0,796.1675,1913.9829,0,0,0,8148.053,4081.0,4111.16,5543.003,0,0,0,0,0,4362.36,0,1705.946,106348.164,2969.327,0,0,0,0,97270.64,0,0,0,0,0,0,0,5191.788,0,0,
