"row.ID","row.m.z","row.retention.time","S41_neg.mzML","S42_neg.mzML","S43_neg.mzML","S46_neg.mzML","S21_neg.mzML","S22_neg.mzML","S23_neg.mzML","S24_neg.mzML","S25_neg.mzML","S26_neg.mzML","S27_neg.mzML","S28_neg.mzML","S29_neg.mzML","S30_neg.mzML","S31_neg.mzML","S32_neg.mzML","S34_neg.mzML","S35_neg.mzML","S36_neg.mzML","S37_neg.mzML","S38_neg.mzML","S39_neg.mzML","S40_neg.mzML","S01_neg.mzML","S02_neg.mzML","S03_neg.mzML","S04_neg.mzML","S05_neg.mzML","S06_neg.mzML","S07_neg.mzML","S08_neg.mzML","S09_neg.mzML","S10_neg.mzML","S11_neg.mzML","S12_neg.mzML","S13_neg.mzML","S14_neg.mzML","S15_neg.mzML","S16_neg.mzML","S17_neg.mzML","S18_neg.mzML","S19_neg.mzML","S20_neg.mzML"
3972,171.066707252541,15.809698,158305.58,248727.61,77541.31,55710.406,21647.39,273584.47,100921.77,297877.6,71512.44,379228.66,317106.56,534178.94,77192.66,152570.89,429041.8,344497.47,351137.53,381686.44,74341.01,464329.53,456647.62,41350.977,414162.6,127042.56,322698.72,29384.99,128933.664,183624.45,96067.91,337467.88,121361.234,284184.25,396838.66,35846.81,52430.156,186024.31,454887.56,205228.11,156894.55,78693.23,42381.125,183291.72,615300.06
5669,171.066715688952,16.432941,90762.76,285597.12,339771.9,157330.42,174070.02,880159.9,133844.23,365715.62,58622.688,150057.38,136506.61,437801.38,815589.75,156796.55,17834.219,247039.03,189813.64,264461.62,366831.47,38170.285,750218.94,477122.6,407188.5,123309.64,17885.457,849495.94,167666.4,372054.16,68620.984,210939.61,161267.11,69546.29,259993.06,260165.53,112106.195,166896.02,347800.66,392114.2,236794.48,92712.64,309119.53,114172.945,149866.1
3151,171.066711779796,15.210082,34985.44,5130.7856,16587.123,9847.538,53050.168,17964.389,8551.402,11686.031,21574.203,8734.962,5756.2954,7608.8086,8787.417,12594.121,11181.839,6946.657,5355.679,8481.452,70658.21,57783.293,39431.1,22225.844,10476.112,7747.3564,2943.9575,8865.372,13767.527,4207.606,10222.627,11594.995,30407.586,11214.83,6544.4976,10849.661,20633.93,11966.429,13841.388,9037.953,4811.472,17053.48,11068.396,29353.488,9166.086
4504,171.066715434742,16.072403,385670.8,312980.84,53921.863,820056.6,807716.44,241391.12,77981.6,275385.97,909490.4,127061.16,329769.44,130409.12,73730.445,419865.1,153815.17,295832.28,168281.66,515937.88,1206464.9,422694.28,291010.94,766395.06,293941,363485.25,279833.22,35526.13,343709.5,156025.94,197459.86,293751.8,440726.5,337525,74257.766,482273.34,301972.28,470744.78,173502.86,240325.5,144126.7,716096,97653.18,739858.2,165095.39
6973,171.066714057606,16.936596,38796.316,25821.56,44888.32,81159.055,17415.459,19213.555,14660.56,67916.945,47392.473,92123.74,16131.159,41416.34,99216.09,15859.302,25023.47,24892.686,12106.061,23166.248,77847.77,22013.08,137281.38,45077.562,53575.65,45123.066,21771.586,52059.727,38866.28,25037.906,110427.28,72762.31,25377.965,126733.58,26708.676,35164.29,48178.273,24134.262,34935.348,68237.93,71402.64,23944.953,13237.053,32998.586,68395.805
5253,171.066721585797,16.272062,55428.367,38238.65,18277.812,26001.07,176328.9,78910.37,20872.514,75205.09,331685.4,62922.867,76240.87,26924.453,64035.19,40330.99,145919.39,17515.777,200288.4,60408.79,119974.89,85072.266,26739.658,98620.56,71248.11,57553.316,17885.457,29020.71,86869.79,120862.93,37327.496,56571.504,78582.42,675282.5,31260.832,38317.09,26259.164,52249.945,16110.373,324832.9,62326.008,38134.047,111380.305,152219.53,33871.125
6461,172.061954042108,16.709583,717286.1,456741.88,288066.53,334543.06,1126623.2,398131.44,349214.28,353339.22,474369.53,734856.56,342943.25,176835,220143.66,243756.84,1208275.4,276579.84,380724.56,581955.75,1163440,262795.6,709904.5,929863.56,613276.2,635949.5,541263.25,376522.9,730545.06,389117.34,660819.75,151212.5,458012.78,256897.36,173629.27,391706.72,848996.3,277908.56,272593.84,571909.8,512183.3,1206599.9,1180356.5,678680.6,186805.33
3268,172.061958878157,15.450867,237176,165989.66,35939.23,47269.086,69194.61,88033.05,56169.54,73306.69,55644.195,119431.29,43668.223,70089.78,104757.36,167620.12,41330.625,115221.2,85882.086,44591.754,148437.6,63234.01,44592.973,56263.15,29755.354,29476.549,16474.844,146846.55,47853.91,48341.03,24125.707,35212.992,97056.79,84847.07,36922.66,79282.96,96314.27,33158.74,57973.793,57227.44,76102.89,32496.621,26669.117,535648.6,94463.22
4058,172.061964813706,15.84602,32665.969,802867.4,126977.81,85206.55,270854.9,614691.75,362894.47,455584.5,200311.84,974031.9,828850.1,59636.58,343964.8,52263.832,1161550.9,570036.6,691003.56,944445.94,37691.42,640828.3,627804.25,1480830.8,553545.6,692153.6,443772,700810,53839.383,710162.56,920525.75,406129.53,321650.56,403822.44,571248.6,59212.46,606398,491275.8,760536.1,512141.5,201697.45,985115.06,145322.5,560856.94,48687.81
3676,172.061964493982,15.622847,130011.414,69880.875,41459.582,34307.586,81604.28,216045.9,45440.465,57079.863,15526.605,59943.125,95199.69,40923.605,29196.828,148968.67,49311.1,47194.957,74582.37,204126.8,99221.266,19350.477,115860.35,40736.758,31307.705,84707.74,16862.336,75784.16,259819.3,19281.824,123088.055,36267.34,128183.49,64539.555,43173.164,63888.664,60001.508,48970.01,44612.184,55253.664,96850.16,74497.9,61294.227,109437.41,132210.67
5704,172.061968406722,16.41532,221898.02,438733.47,419685.5,725794.06,308605.6,128421.98,56414.28,566834.94,309091.2,227113.94,205582.3,675041.9,470892.66,236265.86,52498.668,29483.414,173503.88,449639.12,556937.5,71408.91,1194506.4,912036.56,117366.92,309032.12,29053.205,234246.02,205076.69,563155.1,538457.9,312226.9,475668.38,496266.94,334140.78,226935.36,1106273.6,261563.56,520204.6,55212.53,391330.12,235543.27,186886.62,176047.39,235475.31
