"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"5483_708.4882_14.48","PC13",-0.0212438647652673,34.2705714111064,5.8541072257951,0.0341,0.78979
"5483_708.4882_14.48","PC14",-0.0380510370147499,32.4498558829729,5.69647749780274,0.03229,0.82208
"5483_708.4882_14.48","PC15",0.00193906405593013,29.4457815462588,5.42639673690182,0.0293,0.85138
"5483_708.4882_14.48","PC16",0.0580782779612944,26.73834001181,5.17091287992846,0.02661,0.87799
"5483_708.4882_14.48","PC17",0.0578537732985554,26.3318954241486,5.13146133417651,0.0262,0.90419
"5483_708.4882_14.48","PC18",0.00722174301532765,25.720637321386,5.07155176660813,0.02559,0.92978
"5483_708.4882_14.48","PC19",-0.0517146323800702,25.0764289159149,5.00763705912428,0.02495,0.95473
"5483_708.4882_14.48","PC20",-0.00250260583037794,23.1794583373206,4.81450499400723,0.02306,0.97779
"5483_708.4882_14.48","PC21",-0.0133095234921519,22.3165118785948,4.72403555009854,0.02221,1
"5483_708.4882_14.48","PC22",-0.0130817429893817,1.61382120149931e-28,1.27036262598492e-14,0,1
"5584_716.4357_14.6","PC1",-0.0722029198903951,143.774299937228,11.9905921428939,0.14306,0.14306
"5584_716.4357_14.6","PC2",0.0180135822814949,101.489583316951,10.0742038552409,0.10098,0.24404
"5584_716.4357_14.6","PC3",-0.00301476571620632,78.1307277647967,8.83915877019961,0.07774,0.32179
"5584_716.4357_14.6","PC4",0.00783320883444663,69.3312296551443,8.32653767511709,0.06899,0.39077
"5584_716.4357_14.6","PC5",0.0127221468594291,59.2218532428553,7.6955736136337,0.05893,0.4497
"5584_716.4357_14.6","PC6",-0.0269024412034908,57.9045480843128,7.60950380013787,0.05762,0.50732
"5584_716.4357_14.6","PC7",-0.0140413878313902,49.7622364836795,7.05423535783146,0.04951,0.55683
"5584_716.4357_14.6","PC8",-0.0230341995562179,46.7655449837492,6.83853383290229,0.04653,0.60336
"5584_716.4357_14.6","PC9",0.0186503786595203,41.5393927083848,6.44510610528522,0.04133,0.6447
"5584_716.4357_14.6","PC10",0.0183962345623961,39.2395818855196,6.26415053183746,0.03904,0.68374
"5584_716.4357_14.6","PC11",0.00471079545628314,37.1267944606612,6.09317605692312,0.03694,0.72068
"5584_716.4357_14.6","PC12",0.0198547576859948,35.184726747206,5.93167149690591,0.03501,0.75569
"5584_716.4357_14.6","PC13",-0.00157702518053268,34.2705714111064,5.8541072257951,0.0341,0.78979
"5584_716.4357_14.6","PC14",-0.0344398020073652,32.4498558829729,5.69647749780274,0.03229,0.82208
