"feature","principal_component","loading","eigenvalue","Standard deviation","Proportion of Variance","Cumulative Proportion"
"2119_329.2334_11.46","PC16",-0.0285011203754993,15.2009566011866,3.89884041750705,0.02906,0.85104
"2119_329.2334_11.46","PC17",-0.0548166156483716,13.9797511298918,3.73895053857253,0.02673,0.87777
"2119_329.2334_11.46","PC18",-0.0198700357890351,13.7657972773369,3.71022873652513,0.02632,0.90409
"2119_329.2334_11.46","PC19",0.0227860344188295,13.4252528568123,3.66404869738548,0.02567,0.92976
"2119_329.2334_11.46","PC20",-0.0127052471806688,13.0725222075725,3.61559430904139,0.025,0.95475
"2119_329.2334_11.46","PC21",0.0111887438458227,12.2765713311285,3.5037938482634,0.02347,0.97823
"2119_329.2334_11.46","PC22",0.0224476628187847,11.3878530371328,3.37458931384736,0.02177,1
"2119_329.2334_11.46","PC23",0.0147464088607297,2.30399167509639e-29,4.79999132821757e-15,0,1
"2219_329.2334_12.21","PC1",-0.0677919259214269,96.0200885693322,9.79898405802011,0.18359,0.18359
"2219_329.2334_12.21","PC2",0.0218594065582884,34.0426664926706,5.83460936932976,0.06509,0.24869
"2219_329.2334_12.21","PC3",-0.0210022443621424,32.1851664417304,5.67319719750075,0.06154,0.31023
"2219_329.2334_12.21","PC4",0.0561076196465256,29.3040010687993,5.41331701166663,0.05603,0.36626
"2219_329.2334_12.21","PC5",0.00640738584461617,27.8702446957801,5.27922766091595,0.05329,0.41955
"2219_329.2334_12.21","PC6",0.026539818123395,25.4013570068827,5.0399758934823,0.04857,0.46811
"2219_329.2334_12.21","PC7",-0.00451816555797607,25.1304904298314,5.0130320595256,0.04805,0.51616
"2219_329.2334_12.21","PC8",-0.0434443711549163,24.2329509288421,4.92269752562984,0.04633,0.5625
"2219_329.2334_12.21","PC9",-0.0295166820664777,22.7735437940715,4.77216342910336,0.04354,0.60604
"2219_329.2334_12.21","PC10",-0.0108335912482867,21.3200892539197,4.61736821727699,0.04076,0.64681
"2219_329.2334_12.21","PC11",-0.0743409130172529,20.3693717227695,4.5132440353663,0.03895,0.68576
"2219_329.2334_12.21","PC12",0.0457342695196422,19.300544718397,4.39323852282084,0.0369,0.72266
"2219_329.2334_12.21","PC13",0.0213248399412149,18.4718769386704,4.29789215065599,0.03532,0.75798
"2219_329.2334_12.21","PC14",-0.0167649483632545,17.5552971803223,4.1899041970339,0.03357,0.79154
