row.ID,row.m.z,row.retention.time,p_value,statistic,p_adjusted_BH,mean_change_group1,mean_change_group2,log2_fold_change_of_change,significance,label
6373,159.06663,16.640633,0.20566718,29,1,0.000412844,0.001161488,1.49230483,Not Significant,NA
4989,161.0822836,16.070335,0.20566718,61,1,-1.53E-05,-0.000321255,4.391410679,Not Significant,NA
4100,163.0615742,15.733917,0.20566718,29,1,0.000399229,0.000862481,1.111274093,Not Significant,NA
5697,170.0462851,16.403414,0.20566718,61,1,0.000103654,-6.89E-05,0.588653313,Not Significant,NA
5323,198.0778287,16.17272,0.20566718,29,1,-9.85E-05,4.25E-05,1.210956084,Not Significant,NA
4102,223.0732759,15.779111,0.20566718,29,1,1.48E-05,7.01E-05,2.243420175,Not Significant,NA
3921,227.1046187,15.720992,0.20566718,29,1,8.87E-06,0.000106991,3.592727455,Not Significant,NA
2722,265.1479197,14.402925,0.20566718,29,1,3.76E-05,0.001095721,4.863896377,Not Significant,NA
2273,413.2182362,12.620068,0.20566718,29,1,-3.44E-07,3.61E-07,-0.079759885,Not Significant,NA
6961,461.15915,16.93301,0.20566718,29,1,-2.17E-05,1.15E-05,0.912704491,Not Significant,NA
2942,621.3204223,14.929166,0.20566718,29,1,3.04E-06,6.82E-06,1.164198926,Not Significant,NA
2995,83.02362636,14.965072,0.236444716,30,1,-9.90E-05,0.000324709,-1.713780418,Not Significant,NA
6899,106.0396976,16.894886,0.236444716,30,1,-0.008082825,-0.001442845,-2.485944541,Not Significant,NA
6517,107.0349963,16.690554,0.236444716,30,1,0.000166712,0.001021248,2.614900276,Not Significant,NA
3931,118.039777,15.867932,0.236444716,60,1,0.000928506,-0.000320762,1.533413187,Not Significant,NA
3127,131.0351677,15.150408,0.236444716,30,1,-0.000152159,0.000175671,-0.207318196,Not Significant,NA
6693,133.0507844,16.853416,0.236444716,30,1,-0.000349915,0.000122224,1.517455911,Not Significant,NA
6981,158.0461942,16.924793,0.236444716,30,1,-7.28E-05,5.05E-05,0.528901886,Not Significant,NA
5551,183.9335395,16.41138,0.236444716,60,1,-5.62E-05,-0.000372231,2.726920082,Not Significant,NA
6766,191.0566812,16.884249,0.236444716,30,1,-0.000348375,-0.000107135,-1.701214143,Not Significant,NA
2677,221.1542376,14.297735,0.236444716,60,1,3.79E-06,-7.32E-05,-4.270261238,Not Significant,NA
6080,223.0732827,16.533363,0.236444716,30,1,-7.03E-05,6.90E-05,0.027230995,Not Significant,NA
7016,223.0733236,16.961811,0.236444716,30,1,-3.90E-05,-1.16E-05,-1.748083604,Not Significant,NA
6191,227.104598,16.651293,0.236444716,60,1,5.80E-05,-7.40E-06,2.970684526,Not Significant,NA
3898,265.1478623,15.711845,0.236444716,60,1,-8.59E-05,-0.000134601,0.648387993,Not Significant,NA
2674,345.1091925,14.266891,0.236444716,60,1,4.01E-07,-1.57E-05,-5.293167258,Not Significant,NA
4536,491.3587494,15.980366,0.236444716,60,1,5.20E-07,-1.57E-07,1.737941833,Not Significant,NA
5358,90.00834168,16.3404,0.270344141,59,1,-6.05E-06,-0.000580103,6.584130672,Not Significant,NA
5691,106.0396971,16.441238,0.270344141,59,1,0.014088028,0.000724879,-4.280584616,Not Significant,NA
6988,112.9843318,16.957169,0.270344141,59,1,-0.000400555,-0.001274998,1.670426299,Not Significant,NA
4552,116.0241199,16.084082,0.270344141,59,1,0.000847009,-0.000446132,0.924912832,Not Significant,NA
4121,120.0190677,15.988564,0.270344141,59,1,0.000161338,-1.68E-06,6.588666927,Not Significant,NA
6133,131.0351256,16.689613,0.270344141,59,1,0.006256898,0.001003485,-2.64042761,Not Significant,NA
5327,131.035128,16.24896,0.270344141,31,1,-0.001542645,2.56E-05,5.912042409,Not Significant,NA
5937,140.0242936,16.57514,0.270344141,31,1,-2.43E-05,0.000242657,-3.317827417,Not Significant,NA
4107,145.0508352,15.966126,0.270344141,59,1,0.000469904,-0.003690492,-2.973372252,Not Significant,NA
5563,145.9225333,16.4298,0.270344141,31,1,-0.000249889,7.13E-05,1.808958292,Not Significant,NA
5711,158.04619,16.41558,0.270344141,59,1,0.000142017,-0.000296092,-1.059961527,Not Significant,NA
3966,161.0459609,15.7255945,0.270344141,31,1,1.52E-05,0.000109517,2.845972884,Not Significant,NA
6731,163.0616141,16.969725,0.270344141,31,1,-6.34E-05,0.000130187,-1.037468596,Not Significant,NA
4652,172.0619702,16.064089,0.270344141,59,1,0.000428447,-0.000978227,-1.191048014,Not Significant,NA
2164,229.1442,11.832916,0.270344141,59,1,2.06E-05,-5.31E-05,-1.36589673,Not Significant,NA
5819,239.1047527,16.513298,0.270344141,59,1,1.88E-05,-6.14E-06,1.613956015,Not Significant,NA
5431,239.1047749,16.290346,0.270344141,31,1,1.42E-05,5.81E-05,2.034354995,Not Significant,NA
6698,93.0080087,16.673315,0.307434166,58,1,-2.19E-05,-0.000182863,3.061179088,Not Significant,NA
6212,110.0346461,16.673256,0.307434166,32,1,-0.000129663,0.000510215,-1.976358104,Not Significant,NA
5816,118.0397843,16.452997,0.307434166,32,1,-0.000331807,0.000273554,0.278510234,Not Significant,NA
5296,120.0554492,16.363306,0.307434166,58,1,-0.000297679,-0.001456497,2.290675036,Not Significant,NA
3918,121.0506982,15.855703,0.307434166,58,1,0.000825423,-0.000389183,1.084691671,Not Significant,NA
6834,147.0301355,16.756649,0.307434166,58,1,1.77E-05,-0.000122994,-2.799353316,Not Significant,NA
6741,159.0666371,16.851336,0.307434166,32,1,-0.000232461,-2.19E-06,-6.728712349,Not Significant,NA
1906,161.0209156,8.974,0.307434166,58,1,1.53E-08,-7.34E-07,-5.487500045,Not Significant,NA
3972,171.0667073,15.809698,0.307434166,32,1,-7.76E-05,0.000325562,-2.06962768,Not Significant,NA
4644,186.0777308,16.058588,0.307434166,58,1,-2.05E-05,-0.000218001,3.410900719,Not Significant,NA
2457,377.0619243,13.559451,0.307434166,58,1,-1.81E-07,-9.27E-07,2.364548019,Not Significant,NA
7296,404.1045505,17.192566,0.307434166,58,1,3.65E-06,-1.67E-05,-2.194839744,Not Significant,NA
3589,106.0396944,15.629949,0.347745599,33,1,-0.006683965,0.015697969,-1.231802118,Not Significant,NA
4616,108.0189759,16.0746,0.347745599,57,1,8.21E-05,-7.38E-05,0.153911023,Not Significant,NA
4133,109.0393858,15.837658,0.347745599,57,1,-8.27E-05,-0.000636832,2.945025388,Not Significant,NA
3731,110.0346486,15.630476,0.347745599,33,1,0.000293164,0.00090447,1.625361804,Not Significant,NA
3410,121.0506929,15.435498,0.347745599,33,1,-0.000121326,9.86E-05,0.299595798,Not Significant,NA
3443,132.0555397,15.423544,0.347745599,57,1,-4.78E-05,-0.000336036,2.813646609,Not Significant,NA
3133,132.055546,15.161526,0.347745599,33,1,-7.01E-05,3.37E-05,1.057056276,Not Significant,NA
5710,145.05084,16.378792,0.347745599,57,1,0.003432421,-0.000930974,1.882416021,Not Significant,NA
4872,145.0508395,16.141773,0.347745599,33,1,-0.003335663,-2.37E-05,-7.135667757,Not Significant,NA
6905,145.0508524,16.885967,0.347745599,33,1,-0.000388798,4.25E-05,3.194763332,Not Significant,NA
3753,147.0665302,15.649183,0.347745599,33,1,8.25E-05,0.000137479,0.736603102,Not Significant,NA
3673,159.066643,15.616761,0.347745599,33,1,-2.42E-05,5.95E-05,-1.29654536,Not Significant,NA
5705,163.0615815,16.406225,0.347745599,57,1,7.60E-05,-6.41E-06,3.566862753,Not Significant,NA
6111,200.0934895,16.528002,0.347745599,57,1,-2.52E-05,-6.22E-05,1.302534798,Not Significant,NA
5822,210.0779342,16.51169,0.347745599,57,1,5.64E-05,-3.73E-05,0.599259559,Not Significant,NA
4486,213.0888533,16.063475,0.347745599,33,1,-0.000272895,3.46E-05,2.977378892,Not Significant,NA
6665,223.0732748,16.750742,0.347745599,33,1,-3.48E-05,2.41E-05,0.528476097,Not Significant,NA
3476,223.0732789,15.479487,0.347745599,33,1,-6.99E-06,1.63E-06,2.099182532,Not Significant,NA
6148,237.0890885,16.670664,0.347745599,33,1,-0.000141554,-3.73E-05,-1.925194894,Not Significant,NA
4080,239.1047438,15.775008,0.347745599,33,1,-1.56E-06,2.33E-05,-3.90539323,Not Significant,NA
89,242.9432691,0.5406019,0.347745599,33,1,1.93E-05,7.52E-07,-4.67851388,Not Significant,NA
7081,264.072524,16.988997,0.347745599,57,1,-1.39E-05,-3.52E-05,1.335542607,Not Significant,NA
4597,84.00763218,16.031567,0.391267279,34,1,-0.000488614,5.78E-05,3.079962123,Not Significant,NA
3269,92.02399252,15.331539,0.391267279,34,1,2.83E-06,0.000195281,6.110199562,Not Significant,NA
2990,106.0396898,15.080238,0.391267279,34,1,-0.000272804,0.000136784,0.995952577,Not Significant,NA
4286,117.0194154,16.002735,0.391267279,56,1,0.000368546,-9.76E-05,1.916746785,Not Significant,NA
7303,117.9274097,17.192142,0.391267279,34,1,-0.000147537,-4.92E-05,-1.583021607,Not Significant,NA
6721,120.0190585,16.641325,0.391267279,56,1,0.000322621,7.75E-05,-2.058186886,Not Significant,NA
4836,121.0507026,16.06177,0.391267279,34,1,-0.000161259,0.000190499,-0.240424321,Not Significant,NA
3411,130.0398759,15.505602,0.391267279,56,1,0.000111288,-0.000202402,-0.862902061,Not Significant,NA
3805,130.0398762,15.683663,0.391267279,34,1,-0.000780404,0.000348608,1.162607825,Not Significant,NA
5838,130.0398798,16.453112,0.391267279,56,1,0.000803793,-0.001007029,-0.325205861,Not Significant,NA
6927,131.0351319,16.888378,0.391267279,34,1,-0.000153524,0.000326958,-1.090656803,Not Significant,NA
2957,131.0352106,14.927102,0.391267279,34,1,2.45E-05,7.67E-05,1.648252091,Not Significant,NA
3823,132.055533,15.680155,0.391267279,34,1,-0.000593041,-0.000286135,-1.051437148,Not Significant,NA
4777,135.066446,16.08089,0.391267279,34,1,0.000264772,0.000536602,1.019097785,Not Significant,NA
5076,143.0352529,16.245892,0.391267279,56,1,0.000177377,-9.26E-05,0.937122778,Not Significant,NA
5061,158.0461908,16.10224,0.391267279,56,1,8.76E-05,-0.000575046,-2.715163501,Not Significant,NA
6172,163.0615726,16.658892,0.391267279,34,1,0.000214693,0.000546409,1.347698806,Not Significant,NA
4927,183.066799,16.12371,0.391267279,34,1,-4.66E-05,8.11E-06,2.522147569,Not Significant,NA
6749,184.062056,16.851671,0.391267279,34,1,-9.14E-05,-8.22E-05,-0.152997225,Not Significant,NA
6945,194.9730275,16.935946,0.391267279,34,1,-3.37E-05,0.000103408,-1.617252235,Not Significant,NA
1955,201.1126138,9.338725,0.391267279,56,1,-0.000245712,-0.000576452,1.230235005,Not Significant,NA
5272,210.0779431,16.300665,0.391267279,34,1,-3.91E-05,3.00E-05,0.384263663,Not Significant,NA
4886,212.0936066,16.063034,0.391267279,56,1,2.03E-05,-6.85E-05,-1.753297238,Not Significant,NA
6571,213.0888415,16.701727,0.391267279,56,1,0.000504272,0.00023176,-1.121567162,Not Significant,NA
2702,233.1543658,14.367309,0.391267279,56,1,8.93E-06,-4.41E-05,-2.303543562,Not Significant,NA
2420,287.2228617,13.282007,0.391267279,56,1,-4.01E-06,-4.78E-05,3.577041419,Not Significant,NA
3897,309.174107,15.71132,0.391267279,56,1,-2.31E-05,-9.59E-05,2.05165803,Not Significant,NA
6939,311.1686609,16.913023,0.391267279,56,1,0.000118092,-0.000365391,-1.629518765,Not Significant,NA
6276,339.1997932,16.910164,0.391267279,34,1,-0.001516354,0.000155825,3.282595917,Not Significant,NA
5047,93.00801212,16.164326,0.437942823,55,1,-6.24E-07,-3.94E-05,5.98165046,Not Significant,NA
6788,117.0193975,16.850025,0.437942823,55,1,-2.83E-05,-9.13E-05,1.688722136,Not Significant,NA
4794,120.0554488,16.171179,0.437942823,35,1,0.000367168,0.000951778,1.374182178,Not Significant,NA
3562,131.0351273,15.622899,0.437942823,55,1,-0.000335001,-0.000493979,0.560288294,Not Significant,NA
4025,133.0507809,15.8609705,0.437942823,55,1,0.000458613,-0.000199204,1.203037292,Not Significant,NA
5566,141.0195617,16.40191,0.437942823,35,1,-0.000348976,0.000126172,1.467720694,Not Significant,NA
6507,143.0352406,16.671503,0.437942823,35,1,7.85E-06,0.000191796,4.610990314,Not Significant,NA
4461,144.0556353,16.06704,0.437942823,55,1,0.000156526,-4.62E-05,1.759553045,Not Significant,NA
5287,147.0665345,16.321135,0.437942823,55,1,0.000722469,-0.000114526,2.657272937,Not Significant,NA
3989,157.050958,15.889269,0.437942823,35,1,0.000147294,0.000694135,2.23651228,Not Significant,NA
3676,172.0619645,15.622847,0.437942823,55,1,-5.75E-05,-8.66E-05,0.591639921,Not Significant,NA
4654,184.0620586,16.079058,0.437942823,35,1,-0.000157218,0.000145922,0.107544697,Not Significant,NA
4705,188.093381,16.041992,0.437942823,35,1,2.32E-05,7.52E-05,1.697587867,Not Significant,NA
4804,191.0566924,16.159355,0.437942823,35,1,-1.61E-05,0.000266653,-4.047006808,Not Significant,NA
2391,195.1383785,13.268635,0.437942823,55,1,3.92E-06,-1.04E-05,-1.40331023,Not Significant,NA
5662,213.0888498,16.445988,0.437942823,55,1,-8.43E-06,-0.000168136,4.317470418,Not Significant,NA
4475,239.1047735,16.0653,0.437942823,55,1,8.07E-05,-1.88E-05,2.101717047,Not Significant,NA
1904,242.9743139,8.968483,0.437942823,35,1,-2.33E-07,7.21E-08,1.664245609,Not Significant,NA
5013,252.1001939,16.138992,0.437942823,35,1,-9.39E-05,4.44E-05,1.081045634,Not Significant,NA
5354,265.1478784,16.293533,0.437942823,35,1,-4.35E-05,3.83E-05,0.18378975,Not Significant,NA
2627,265.1479135,14.185622,0.437942823,55,1,3.76E-05,-0.000184449,-2.294541634,Not Significant,NA
2555,315.2539856,13.739528,0.437942823,55,1,-4.26E-05,-0.000144141,1.756981401,Not Significant,NA
