row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change,significance
9323,165.067189467556,17.02898,0.02346764647609126,14,18,0.7056383381268951,1,-0.65,-9.665616753449481e-6,1.4799668352876254e-5,2.4465285106325735e-5,NA,NA,Not Significant
7478,265.252177358697,15.699059,0.02346764647609126,66,18,0.7056383381268951,1,0.6499999999999999,-1.5996151242344699e-6,-1.2685789374012727e-5,-1.1086174249778257e-5,NA,NA,Not Significant
6088,368.219212433543,14.894807,0.02346764647609126,66,18,0.7056383381268951,1,0.6499999999999999,3.3390570793417e-5,-8.914137321426126e-5,-1.2253194400767826e-4,NA,NA,Not Significant
8500,579.425593645022,16.503954,0.02346764647609126,14,18,0.7056383381268951,1,-0.65,-5.968209224715409e-6,1.7282316990420547e-5,2.3250526215135955e-5,NA,NA,Not Significant
8899,74.0970547934691,16.87788,0.02948936338440756,15,18,0.7056383381268951,1,-0.625,-4.4461852740337036e-4,0.003434534061387774,0.0038791525887911446,NA,NA,Not Significant
9497,102.037651540422,17.037348,0.02948936338440756,15,18,0.7056383381268951,1,-0.625,-6.6507676798755e-5,-2.9873645307525077e-6,6.352031226800249e-5,NA,NA,Not Significant
9291,131.538611304739,17.029192,0.02948936338440756,65,18,0.7056383381268951,1,0.625,4.004628951735143e-5,-5.59214300240125e-6,-4.563843251975268e-5,NA,NA,Not Significant
4124,227.124975845399,11.283274,0.02948936338440756,15,18,0.7056383381268951,1,-0.625,-2.6798313020191842e-5,1.2980475823738823e-5,3.9778788843930665e-5,NA,NA,Not Significant
6081,306.239832916048,14.905912,0.02948936338440756,65,18,0.7056383381268951,1,0.625,4.5383548641248385e-6,-7.782693897437564e-6,-1.2321048761562402e-5,NA,NA,Not Significant
5791,487.323429586213,14.837481,0.02948936338440756,65,18,0.7056383381268951,1,0.625,3.650626886207495e-6,-4.9363580158832145e-6,-8.58698490209071e-6,NA,NA,Not Significant
8546,513.386581534014,16.549322,0.02948936338440756,15,18,0.7056383381268951,1,-0.625,-5.349145031260998e-6,2.222604835790979e-5,2.7575193389170786e-5,NA,NA,Not Significant
8220,703.452861382351,16.264412,0.02948936338440756,65,18,0.7056383381268951,1,0.625,4.2043124614466945e-7,-5.878491285920718e-7,-1.0082803747367413e-6,NA,NA,Not Significant
8616,876.660349171401,16.604132,0.02948936338440756,15,18,0.7056383381268951,1,-0.625,-5.977060934705776e-6,5.2364828332349945e-6,1.121354376794077e-5,NA,NA,Not Significant
9456,106.029091972106,17.035973,0.036795147171452006,16,18,0.7250808413197896,1,-0.6,3.2778733345298026e-6,1.3418543288731864e-5,1.014066995420206e-5,NA,NA,Not Significant
5375,204.138105892807,14.331266,0.036795147171452006,16,18,0.7250808413197896,1,-0.6,2.4354701112430785e-6,1.1666939872544206e-5,9.231469761301127e-6,NA,NA,Not Significant
3287,215.125170564377,5.6554103,0.036795147171452006,64,18,0.7250808413197896,1,0.6000000000000001,6.864158063361999e-6,-5.66638633960087e-6,-1.2530544402962869e-5,NA,NA,Not Significant
7700,256.263069898048,15.793059,0.036795147171452006,16,18,0.7250808413197896,1,-0.6,-1.1059565434307829e-4,-1.3386078086355497e-6,1.0925704653444274e-4,NA,NA,Not Significant
4736,288.252856949326,13.487194,0.036795147171452006,16,18,0.7250808413197896,1,-0.6,-1.3329365622885011e-5,2.2663287967333745e-5,3.5992653590218754e-5,NA,NA,Not Significant
6391,340.284073110828,15.20336,0.036795147171452006,16,18,0.7250808413197896,1,-0.6,-1.1204649241804822e-5,5.040011585359672e-6,1.6244660827164493e-5,NA,NA,Not Significant
5878,352.245220972779,14.894807,0.036795147171452006,64,18,0.7250808413197896,1,0.6000000000000001,3.9523286648097004e-5,-1.409135020323325e-4,-1.8043678868042952e-4,NA,NA,Not Significant
6970,399.307482562385,15.588492,0.036795147171452006,64,18,0.7250808413197896,1,0.6000000000000001,6.043383856900245e-5,-2.959001718280532e-5,-9.002385575180777e-5,NA,NA,Not Significant
8489,601.438692134365,16.489279,0.036795147171452006,16,18,0.7250808413197896,1,-0.6,-5.884329194892459e-6,1.6536168827333738e-5,2.2420498022226196e-5,NA,NA,Not Significant
2803,98.5123622538129,3.0268826,0.045589156179580106,17,18,0.752963645774706,1,-0.575,-0.001991054671139079,0.002007451881705235,0.003998506552844314,NA,NA,Not Significant
9342,113.01686772806,17.02993,0.045589156179580106,17,18,0.752963645774706,1,-0.575,-1.1199800262656095e-4,1.4149358560607868e-4,2.5349158823263963e-4,NA,NA,Not Significant
4538,149.023267419053,12.859127,0.045589156179580106,17,18,0.752963645774706,1,-0.575,-1.3341131996393477e-6,1.70564154677323e-5,1.8390528667371648e-5,NA,NA,Not Significant
10045,190.97914238324,17.815807,0.045589156179580106,63,18,0.752963645774706,1,0.575,6.60241192022859e-4,-8.46023891626942e-5,-7.448435811855532e-4,NA,NA,Not Significant
5069,280.263083313836,14.019282,0.045589156179580106,17,18,0.752963645774706,1,-0.575,1.3307028650195384e-5,2.9846919004073587e-5,1.6539890353878202e-5,NA,NA,Not Significant
8552,523.851099748166,16.551222,0.045589156179580106,63,18,0.752963645774706,1,0.575,-1.0453291890734103e-6,-9.504703004941863e-6,-8.459373815868454e-6,NA,NA,Not Significant
