row_ID,mz,retention_time,p_value,statistic,n_samples,p_adjusted_BH,p_adjusted_Bonferroni,effect_size,mean_group1,mean_group2,mean_change_difference,fold_change,log2_fold_change
3117,157.050961912032,15.149982,0.5402913746074198,37,19,1,1,-0.1777777777777778,-6.121066715595339e-5,4.375851581850042e-5,1.049691829744538e-4,NA,NA
6269,169.051054768353,16.723581,0.5402913746074198,53,19,1,1,0.1777777777777778,6.81491347153538e-5,-2.6750156402215807e-5,-9.48992911175696e-5,NA,NA
5922,169.051055512303,16.516685,0.5402913746074198,37,19,1,1,-0.1777777777777778,-8.942951812879973e-5,5.2751368728348687e-5,1.4218088685714843e-4,NA,NA
6338,182.046371118536,16.745245,0.5402913746074198,53,19,1,1,0.1777777777777778,8.203988472186255e-5,-1.5081181980645991e-5,-9.712106670250854e-5,NA,NA
6341,184.062043231656,16.665089,0.5402913746074198,53,19,1,1,0.1777777777777778,3.1827856717665494e-4,-3.6920007998066308e-6,-3.219705679764616e-4,NA,NA
3696,186.077729481965,15.597478,0.5402913746074198,37,19,1,1,-0.1777777777777778,-3.1755372565218796e-4,-9.350115486520443e-5,2.2405257078698352e-4,NA,NA
3322,186.077732384512,15.385044,0.5402913746074198,53,19,1,1,0.1777777777777778,-1.0935295254482719e-4,-6.905788211931985e-5,4.029507042550734e-5,NA,NA
3736,191.056686072152,15.913582,0.5402913746074198,53,19,1,1,0.1777777777777778,-3.4580872232070696e-4,-6.160769580268165e-4,-2.702682357061096e-4,NA,NA
5774,198.077826734451,16.419561,0.5402913746074198,53,19,1,1,0.1777777777777778,2.246122438526987e-4,1.1640771071367449e-4,-1.0820453313902422e-4,NA,NA
6975,198.077845583929,16.93379,0.5402913746074198,37,19,1,1,-0.1777777777777778,-5.059300433295251e-5,1.1519706749780938e-5,6.211271108273344e-5,NA,NA
4459,211.073201359281,16.070013,0.5402913746074198,53,19,1,1,0.1777777777777778,-2.7081171382019027e-5,-2.2973561186583112e-4,-2.026544404838121e-4,NA,NA
5575,237.089093405743,16.399765,0.5402913746074198,37,19,1,1,-0.1777777777777778,4.776555451417488e-6,9.629583749887159e-5,9.15192820474541e-5,NA,NA
1903,240.978510192498,8.968483,0.5402913746074198,37,19,1,1,-0.1777777777777778,-2.731461513742611e-8,1.1209234624075346e-7,1.3940696137817958e-7,NA,NA
2699,243.196342087588,14.356658,0.5402913746074198,53,19,1,1,0.1777777777777778,-1.425860699854793e-5,-2.683946665028057e-5,-1.258085965173264e-5,NA,NA
2251,253.14446552315,12.53767,0.5402913746074198,53,19,1,1,0.1777777777777778,-4.545801292792003e-6,-5.9502633292966666e-5,-5.495683200017466e-5,NA,NA
2469,286.108545738452,13.613194,0.5402913746074198,53,19,1,1,0.1777777777777778,-1.6134463944599595e-6,-7.60972856087731e-6,-5.9962821664173505e-6,NA,NA
6932,297.152861830757,16.916264,0.5402913746074198,53,19,1,1,0.1777777777777778,-1.93433009536405e-4,-2.9320458133906785e-4,-9.977157180266285e-5,NA,NA
5910,311.168650582371,16.138933,0.5402913746074198,37,19,1,1,-0.1777777777777778,-0.005833763532509303,-0.0034129093549361985,0.0024208541775731043,NA,NA
2206,327.217766552258,12.1997595,0.5402913746074198,37,19,1,1,-0.1777777777777778,-1.4688056305273519e-5,2.3124197410591374e-5,3.7812253715864896e-5,NA,NA
3407,83.0236221481593,15.403147,0.5956108994757298,52,19,1,1,0.15555555555555545,3.3359743321683397e-4,-6.437208014434689e-4,-9.77318234660303e-4,NA,NA
5112,83.023623152688,16.195824000000002,0.5956108994757298,38,19,1,1,-0.15555555555555556,-2.6969962197907207e-4,0.002482409962666628,0.0027521095846457,NA,NA
6270,90.0083371918715,16.609215,0.5956108994757298,38,19,1,1,-0.15555555555555556,2.795134106791682e-4,0.001285300124551492,0.001005786713872324,NA,NA
7069,107.035010450969,16.97614,0.5956108994757298,38,19,1,1,-0.15555555555555556,-1.0921100120085901e-4,1.500104302002578e-4,2.5922143140111683e-4,NA,NA
5731,116.024120107848,16.385376,0.5956108994757298,38,19,1,1,-0.15555555555555556,1.3179024184680502e-4,1.1978347601727344e-4,-1.2006765829531579e-5,NA,NA
3666,120.019055859833,15.670955,0.5956108994757298,52,19,1,1,0.15555555555555545,1.1873984180070399e-4,1.3512538347477336e-4,1.6385541674069368e-5,NA,NA
4033,120.055443408487,15.923004,0.5956108994757298,52,19,1,1,0.15555555555555545,0.001067510978399335,1.345071330636353e-4,-9.330038453356998e-4,NA,NA
6685,130.039878719381,16.842545,0.5956108994757298,38,19,1,1,-0.15555555555555556,-2.0519228948125004e-4,-1.9119797176746556e-4,1.3994317713784482e-5,NA,NA
5494,135.066452014121,16.35758,0.5956108994757298,52,19,1,1,0.15555555555555545,2.353738478512191e-4,1.1162720043194264e-4,-1.2374664741927644e-4,NA,NA
6710,140.024296114132,16.892284,0.5956108994757298,52,19,1,1,0.15555555555555545,7.047987222050699e-4,2.2131575639184784e-4,-4.8348296581322207e-4,NA,NA
7167,146.937576208944,17.04493,0.5956108994757298,52,19,1,1,0.15555555555555545,-2.9556666278783116e-4,-5.968783137101735e-4,-3.0131165092234236e-4,NA,NA
6994,172.061969393004,16.935555,0.5956108994757298,52,19,1,1,0.15555555555555545,-1.7340900486500616e-5,-6.139057440626257e-5,-4.404967391976195e-5,NA,NA
7164,190.927784517993,17.043293,0.5956108994757298,52,19,1,1,0.15555555555555545,-5.73590945376207e-4,-0.0011734582102581642,-5.998672648819572e-4,NA,NA
4251,213.088840227537,15.821843,0.5956108994757298,38,19,1,1,-0.15555555555555556,1.3277285707293643e-4,3.6676047130748115e-4,2.3398761423454472e-4,NA,NA
6429,239.10472912482,16.699879,0.5956108994757298,52,19,1,1,0.15555555555555545,5.1054104264720944e-5,3.9380545001917455e-6,-4.7116049764529195e-5,NA,NA
2316,257.175804787006,12.9868765,0.5956108994757298,52,19,1,1,0.15555555555555545,4.3339340582222994e-5,-9.01148256780333e-6,-5.235082315002632e-5,NA,NA
2837,299.095561489451,14.728737,0.5956108994757298,52,19,1,1,0.15555555555555545,-1.053840562407242e-5,-3.0680969439943134e-5,-2.0142563815870715e-5,NA,NA
2610,331.093643261452,14.059382,0.5956108994757298,52,19,1,1,0.15555555555555545,-3.749662365227458e-6,-1.4176086342046622e-5,-1.0426423976819164e-5,NA,NA
2312,331.249105110585,12.812348,0.5956108994757298,38,19,1,1,-0.15555555555555556,-1.5620805873590003e-5,-3.571618844365554e-6,1.204918702922445e-5,NA,NA
3069,342.170998499423,15.032263,0.5956108994757298,52,19,1,1,0.15555555555555545,-1.0859230221838001e-5,-2.9743801215547775e-5,-1.8884570993709774e-5,NA,NA
2425,389.171920200434,13.417699,0.5956108994757298,52,19,1,1,0.15555555555555545,-3.2263800785660087e-6,-8.942710231410645e-6,-5.716330152844637e-6,NA,NA
