"feature","PR1","PR2","MeanDecreaseAccuracy","MeanDecreaseGini"
"5075_182.0464_16.17",0.594056959379359,1.27071699268119,1.243222956716,0.0987185995291258
"6111_200.0935_16.53",0.749689645870713,1.34406227991274,1.17341965581919,0.044793567251462
"1906_161.0209_8.97",1.00100150250438,1.40275209380409,1.17029696709658,0.0341104363472784
"5197_196.0622_16.3",1.00100150250438,1.68222465460995,1.12154616564163,0.0464267335004177
"4374_93.008_15.91",1.00100150250438,1.00100150250438,1.00100150250438,0.00366666666666667
"3978_107.035_15.74",1.00100150250438,1.00100150250438,1.00100150250438,0.019364617838302
"5776_107.035_16.48",1.00100150250438,1.00100150250438,1.00100150250438,0.00369230769230769
"7069_107.035_16.98",1.00100150250438,0,1.00100150250438,0.015311004784689
"5625_109.0394_16.43",0,1.00100150250438,1.00100150250438,0.0122597402597403
"5242_110.0346_16.27",1.00100150250438,0,1.00100150250438,0.0064
"3416_110.0347_15.43",1.00100150250438,1.00100150250438,1.00100150250438,0.00369230769230769
"3705_116.0241_15.63",1.00100150250438,1.00100150250438,1.00100150250438,0.0485669278090331
"5816_118.0398_16.45",0,1.00100150250438,1.00100150250438,0.0150666666666667
"5328_120.0191_16.21",1.00100150250438,0,1.00100150250438,0.00363636363636364
"4794_120.0554_16.17",1.00100150250438,0,1.00100150250438,0.012280701754386
"4836_121.0507_16.06",1.00100150250438,0,1.00100150250438,0.00676923076923077
"4635_128.0341_16.05",1.00100150250438,1.00100150250438,1.00100150250438,0.0152149920255183
"6031_130.0399_16.69",1.00100150250438,1.00100150250438,1.00100150250438,0.0244534412955466
"3562_131.0351_15.62",0,1.00100150250438,1.00100150250438,0.0149393939393939
"5783_131.0351_16.48",0,1.00100150250438,1.00100150250438,0.00923076923076923
"6179_133.0508_16.64",1.00100150250438,1.00100150250438,1.00100150250438,0.0418055137844612
"3756_133.0508_15.65",1.41705050316284,0.447303065060821,1.00100150250438,0.0388991228070175
"5637_133.0508_16.42",1.00100150250438,0,1.00100150250438,0.00728888888888889
"4777_135.0664_16.08",1.00100150250438,1.00100150250438,1.00100150250438,0.0235141700404858
"6710_140.0243_16.89",0,1.00100150250438,1.00100150250438,0.00387878787878788
"5076_143.0353_16.25",0,1.00100150250438,1.00100150250438,0.00959055330634278
"3739_145.0508_15.62",1.00100150250438,0,1.00100150250438,0.0103571428571429
"3753_147.0665_15.65",1.00100150250438,0,1.00100150250438,0.0226757663389242
"4046_148.0506_15.77",1.00100150250438,0,1.00100150250438,0.0141842105263158
"3292_157.051_15.37",1.00100150250438,0,1.00100150250438,0.0036
"4202_159.0666_15.81",1.00100150250438,1.00100150250438,1.00100150250438,0.0041025641025641
"6741_159.0666_16.85",0,1.00100150250438,1.00100150250438,0.00342857142857143
"3673_159.0666_15.62",1.00100150250438,0,1.00100150250438,0.00994736842105263
"6731_163.0616_16.97",1.00100150250438,1.00100150250438,1.00100150250438,0.0101818181818182
"5704_172.062_16.42",0,1.00100150250438,1.00100150250438,0.01138995215311
"4112_175.0617_15.78",1.00100150250438,1.00100150250438,1.00100150250438,0.00371428571428572
"3114_186.0777_15.18",1.00100150250438,0,1.00100150250438,0.018911004784689
"6945_194.973_16.94",1.00100150250438,1.00100150250438,1.00100150250438,0.0283796671165092
"5762_196.0622_16.5",0,1.00100150250438,1.00100150250438,0.0124
"5323_198.0778_16.17",1.30206927713678,-1.00100150250438,1.00100150250438,0.0267045112781955
"5767_199.0731_16.5",1.00100150250438,0,1.00100150250438,0.0103333333333333
"4465_200.0935_15.96",1.00100150250438,0,1.00100150250438,0.0130620782726046
"1793_209.0789_7.98",1.00100150250438,0,1.00100150250438,0.0102787878787879
